arrived_at,num_prefill_tokens,num_decode_tokens
0.0,43,43
0.0038457480813427177,792,87
0.2097956734356765,58,1860
0.27226220170492493,77,609
0.2839373736957238,54,233
0.29667196629428927,909,767
0.30053731903504444,865,769
0.3029805992638783,55,72
0.30820196097381086,63,63
0.311056803697611,54,95
0.3427345513606647,54,182
0.3513198170695679,51,85
0.3533578592411028,98,533
0.35530601469882434,207,751
0.41839037919385463,60,97
0.42145324190741895,50,1960
0.5521913391796567,1216,176
0.5536038097780799,145,3800
0.5708211079771509,69,155
0.6282828407554444,68,597
0.6307453312079625,66,313
0.6312720782655751,948,767
0.8398203658689174,50,500
0.8919858756366305,56,315
0.9373440441007791,80,31
0.9379410060267463,52,278
0.9457436485198483,43,45
0.9458715209263486,69,332
0.9964549531323644,152,248
1.0136344500047865,226,3
1.4006465667484542,120,189
1.4108860937306673,94,41
1.5378101306756509,272,96
1.6138061667986616,153,619
1.6715476312553856,45,298
1.7966547766505139,80,272
1.7991074920868013,1674,298
1.8616610581514383,50,54
1.864418423725764,55,330
1.866383505103144,122,498
2.6610311247081233,137,303
2.815502057144818,71,4
2.828879396690988,64,362
2.8302967772459837,238,61
2.8320612491015917,60,267
2.8321519353731794,404,148
2.8436197581989373,60,29
2.860645830213063,56,315
2.896087856222149,176,22
3.0656993563451964,580,610
3.08056362930129,63,177
3.5450443448148032,108,264
3.5633309912540536,1033,3
3.5637554755488874,92,45
3.614478529687264,65,223
3.6151086426478485,53,223
3.8610587703471895,57,193
3.9266378459099114,162,3290
3.9438079814176783,73,145
4.256102440378893,150,334
4.257619149323175,133,92
4.492342483905389,405,114
5.719128286945595,90,274
5.835737860439509,49,21
5.860075809416267,56,120
5.963953819748926,87,25
6.963181016493956,52,427
6.967519984973506,75,509
7.00989041213453,312,220
7.010356469232664,103,387
7.059857711857701,246,272
7.0627342349164515,48,195
7.063336318091164,58,160
7.2525340017032365,80,216
7.266021487909066,1089,456
7.27532067421893,47,280
7.426713647411895,50,40
7.431637520345853,301,128
7.44934168156383,74,27
7.46934131791188,67,331
7.474148346276252,69,513
7.479519086706291,78,108
7.507531119389071,127,31
7.507996312167201,75,155
7.561347673631101,128,70
7.764213163013941,48,460
7.777087976984794,330,253
7.782787793112044,499,178
7.7906883490166035,77,360
7.795746303077203,62,18
7.81172581648495,115,184
7.814681032643842,49,26
7.818891379801623,51,98
7.830546325450454,87,582
7.834503118199863,47,179
7.996377701258554,109,769
7.999920995720509,3165,3
8.000591539191984,137,169
8.350898865335353,55,235
8.395196621492467,550,148
8.39993918423458,49,166
8.426590084945476,46,194
8.823143545422207,59,247
8.823362954369761,293,94
8.828318957668582,1168,130
8.843408254612163,372,592
8.84693948489381,80,395
8.926521202070987,71,166
9.010772989559111,86,30
9.820885075428084,52,4096
9.822528138576695,53,303
9.825168289248783,675,119
9.861905246406693,1845,326
10.008441154700622,301,323
10.009379643151725,50,138
10.024922248174425,113,398
10.337785709029578,52,372
10.428649760188131,50,41
10.476170082022705,57,403
10.57081905968293,1127,736
10.598423501583653,103,263
10.600108542787419,436,776
10.63149918643304,57,500
